AE,OP,LG,Sex,c,LW,pH,IMF,PFat
1,1,1,2,47,2035,5.45,1.569,25.22
1,1,1,2,48,2080,5.42,1.309,15.12
1,1,1,2,49,1520,5.38,1.139,10.91
1,1,1,2,50,1720,5.47,1.107,10.75
1,1,1,2,51,1735,5.45,1.199,14.06
1,2,1,2,52,1705,5.42,1.314,13.49
1,1,1,2,53,2000,5.46,1.072,16.48
1,1,1,2,54,1935,5.44,1.061,12.29
1,2,1,2,55,1900,5.45,1.046,16.92
1,2,1,2,56,1755,5.46,1.031,6.94
1,1,1,2,57,1960,5.43,1.179,23.7
1,1,1,2,58,1900,5.61,0.988,13.68
1,1,1,2,59,1675,5.59,1.058,12.81
1,1,1,2,60,1625,5.58,1.022,7.82
1,1,1,2,61,2020,5.62,1.038,11.3
1,2,1,2,62,1695,5.49,1.43,14.26
1,1,1,2,63,1890,5.55,1.33,14
1,1,1,2,64,1735,5.41,1.246,10.4
1,1,1,2,65,1795,5.72,1.048,10.76
1,1,1,2,66,1680,5.43,1.198,17.75
1,1,1,2,67,1655,5.4,1.268,15.74
1,1,1,2,68,1808,5.42,1.26,13.47
1,1,1,2,69,1885,5.47,1.395,15.17
1,1,1,2,70,1745,5.5,1.259,13.79
1,1,1,2,71,1910,5.45,1.333,17.45
1,2,1,2,72,1880,5.71,1.334,17.53
1,1,1,2,73,1530,5.74,1.222,5.46
1,1,1,2,74,1775,5.75,1.22,13.37
1,1,1,2,75,1795,5.71,1.034,13.53
1,1,1,2,76,1780,5.76,1.063,10.75
1,1,1,2,77,1785,5.72,1.221,14.23
1,2,1,2,78,1745,5.47,1.054,10.65
1,3,1,2,79,1595,5.49,1.15,9.4
1,2,1,2,80,1610,5.53,1.09,11.9
1,1,1,2,81,1650,5.56,1.099,12.6
1,1,1,2,82,1430,5.58,1.052,6.67
1,1,1,2,83,1540,5.55,0.944,7.82
1,3,1,2,84,1700,5.43,1.126,8.6
1,1,1,2,85,1750,5.46,1.17,11.18
1,1,1,2,86,1640,5.46,1.074,7.75
1,1,1,2,87,1655,5.53,1.312,10.09
1,1,2,1,82,1770,5.54,1.245,14.26
1,1,2,1,83,1765,5.59,1.253,9.03
1,1,2,1,84,1740,5.64,1.028,8.6
1,1,2,1,85,1825,5.6,1.483,19.42
1,1,2,1,86,1810,5.65,1.5,10.55
1,1,2,1,87,2205,5.35,1.72,26.17
1,1,2,1,88,1925,5.34,1.414,9.81
1,1,2,1,89,1840,5.56,1.172,9.81
1,1,2,1,90,1645,5.3,1.06,6.7
1,1,2,1,91,2005,5.41,1.261,18.9
1,1,2,1,92,1895,5.4,1.294,12.21
1,1,2,1,93,1905,5.46,1.601,11.9
1,1,2,1,94,1865,5.52,1.187,8.45
1,1,2,1,95,1905,5.45,1.301,10.29
1,1,2,1,96,1880,5.43,1.03,6.79
1,1,2,1,97,2030,5.45,1.677,14.93
1,1,2,1,98,1780,5.47,1.128,8.88
1,1,2,1,99,2245,5.45,1.526,18.67
1,1,2,1,100,1760,5.49,1.474,7.9
1,1,2,1,101,1930,5.68,1.25,5.51
1,1,2,1,102,1715,5.45,1.041,7.26
1,1,2,1,103,1950,5.64,1.17,12.76
1,1,2,1,104,1650,5.69,0.94,7.38
1,1,2,1,105,1875,5.49,0.9,12.6
1,1,2,1,106,1975,5.57,1.036,10.73
1,2,2,1,107,1815,5.7,1.345,12.58
1,1,2,1,108,1950,5.45,1.401,19.18
1,1,2,1,109,1995,5.62,1.057,18.9
1,1,2,1,110,1675,5.61,1,3.87
1,1,2,1,111,1775,5.44,1.411,17.82
1,1,2,1,112,1760,5.66,1.403,13.04
1,1,2,1,113,1695,5.41,1.34,8.72
1,1,2,1,114,1830,5.62,1.146,6.49
1,1,2,1,115,1770,5.42,1.13,9.52
1,1,2,1,116,1790,5.52,1.232,10.56
1,1,2,1,117,1890,5.58,1.441,11.12
1,1,2,1,118,1655,5.59,0.889,6.77
1,1,2,1,119,1785,5.35,1.195,10.62
1,1,2,1,120,1875,5.57,1.208,10.75
1,1,2,1,121,1870,5.65,1.263,7.11
1,1,2,1,122,1750,5.48,1.084,16.99
1,1,2,1,123,1715,5.32,1.463,8.76
1,1,2,2,88,1750,5.66,1.171,11
1,1,2,2,89,1665,5.69,1.16,8.31
1,1,2,2,90,1685,5.54,1.308,10.49
1,1,2,2,91,1845,5.54,1.269,15.56
1,1,2,2,92,1590,5.58,1.584,11.95
1,1,2,2,93,1845,5.37,1.141,15.8
1,1,2,2,94,1765,5.5,1.273,6.33
1,1,2,2,95,2095,5.39,1.32,16.85
1,1,2,2,96,1595,5.81,1.124,3.17
1,1,2,2,97,2085,5.5,1.389,22.86
1,1,2,2,98,1915,5.52,1.406,13.03
1,1,2,2,99,1750,5.45,1.452,13.64
1,1,2,2,100,1905,5.56,0.939,7.87
1,1,2,2,101,1920,5.65,1.33,11.6
1,1,2,2,102,1985,5.43,1.224,10.92
1,1,2,2,103,1850,5.6,1.616,14.54
1,1,2,2,104,1990,5.42,1.447,16.21
1,1,2,2,105,2030,5.5,1.46,16.06
1,1,2,2,106,1500,5.24,1.014,5.23
1,1,2,2,107,1550,5.5,1.008,5.24
1,1,2,2,108,1725,5.55,1.217,12.05
1,1,2,2,109,1690,5.63,1.064,7.12
1,1,2,2,110,1670,5.65,1.013,9.3
1,1,2,2,111,1875,5.45,1.132,13.41
1,1,2,2,112,1885,5.63,0.931,10.04
1,2,2,2,113,1780,5.55,1.306,11.08
1,1,2,2,114,1680,5.8,1.073,7.87
1,1,2,2,115,1865,99999,1.126,11.44
1,1,2,2,116,1630,5.61,1.091,5.7
1,1,2,2,117,1630,5.53,1.111,9.55
1,1,2,2,118,1740,5.56,1.317,11.06
1,1,2,2,119,1655,5.63,1.366,10.75
1,1,2,2,120,1900,5.44,1.493,11.15
1,1,2,2,121,1695,5.62,1.175,11.35
1,1,2,2,122,1845,5.47,1.425,16.06
1,1,2,2,123,1635,5.55,0.999,8.06
1,1,2,2,124,1705,5.48,1.089,9.35
1,1,2,2,125,1845,5.39,1.326,10.88
1,1,2,2,126,1960,5.56,1.291,18.29
1,1,2,2,127,1815,5.57,1.118,8.28
1,1,2,2,128,1685,5.62,1.26,16.11
1,1,2,2,129,1695,5.37,1.248,11.5
1,1,2,2,130,2485,5.55,1.32,29.53
1,1,2,2,131,2595,5.61,1.387,44.06
2,1,3,1,124,1485,5.54,0.936,6.6
2,1,3,1,125,1595,5.8,1.146,8.09
2,1,3,1,126,1655,5.5,1.196,7.18
2,1,3,1,127,1510,5.55,1.159,5.03
2,1,3,1,128,1705,5.49,1.127,10.97
2,1,3,1,129,1505,5.61,1.247,5.29
2,1,3,1,130,1485,5.58,1.099,7.22
2,1,3,1,131,1470,5.64,1.31,7.44
2,2,3,1,132,1580,5.58,1.048,6.95
2,1,3,1,133,1790,5.54,1.151,8.1
2,1,3,1,134,1540,5.61,0.938,6.13
2,1,3,1,135,1635,5.53,1.094,5.26
2,1,3,1,136,1760,5.61,0.98,7.53
2,1,3,1,137,1625,5.7,1.283,5.53
2,1,3,1,138,1450,5.69,1.338,8.18
2,1,3,1,139,1455,5.57,1.096,5.34
2,1,3,1,140,1660,5.64,1.119,8.71
2,2,3,1,141,1650,5.49,1.207,7.22
2,1,3,1,142,1655,5.54,1.131,8.3
2,1,3,1,143,1535,5.51,1.149,7.36
2,1,3,1,144,1410,5.49,1.378,4.9
2,1,3,1,145,1585,5.52,1.055,5.28
2,1,3,1,146,1490,5.63,1.194,7.62
2,1,3,1,147,1530,5.71,1.265,5.55
2,1,3,1,148,1665,5.66,1.387,8.11
2,1,3,1,149,1780,5.54,1.351,7.85
2,1,3,1,150,1500,5.51,1.209,5.12
2,1,3,1,151,1465,5.47,1.152,5.45
2,1,3,1,152,1625,5.72,1.222,5.58
2,1,3,1,153,1590,5.41,1.122,5.84
1,1,3,1,154,1520,5.57,1.156,9.18
1,1,3,1,155,1630,99999,1.139,7.61
1,1,3,1,156,1740,5.43,1.221,8.22
1,1,3,1,157,1810,5.56,1.131,7.6
1,1,3,1,158,1750,5.57,1.169,9.16
1,1,3,1,159,1595,5.54,1.275,6.22
1,1,3,1,160,1655,5.41,1.19,7.94
1,1,3,1,161,1495,5.39,1.368,6.06
1,2,3,1,162,1870,5.42,1.151,6.9
1,1,3,1,163,1830,5.57,1.104,10.69
1,2,3,1,164,1690,5.58,0.97,7.89
1,2,3,1,165,1965,5.48,1.532,10.89
2,1,3,2,132,1390,5.56,1.053,6.27
2,1,3,2,133,1480,5.67,1.289,5.57
2,1,3,2,134,1580,5.68,1.096,8.19
2,1,3,2,135,1745,5.78,1.116,8.75
2,1,3,2,136,1570,5.51,1.188,6.74
2,1,3,2,137,1540,5.65,1.298,7.61
2,1,3,2,138,1530,5.48,1.037,6.85
2,1,3,2,139,1560,5.5,1.292,7.84
2,1,3,2,140,1875,5.64,1.268,14.75
2,1,3,2,141,1615,5.59,1.143,9.22
2,2,3,2,142,1520,5.63,1.168,6.02
2,1,3,2,143,1860,5.69,1.045,10.54
2,1,3,2,144,1630,5.65,1.208,7.34
2,1,3,2,145,1505,5.65,0.847,6.07
2,1,3,2,146,1800,5.48,1.005,8.37
2,1,3,2,147,1790,5.55,1.24,9.93
2,1,3,2,148,1615,5.55,1.119,11.41
2,2,3,2,149,1595,5.51,1.176,7.75
2,1,3,2,150,1585,5.56,1.291,9.09
2,1,3,2,151,1635,5.56,1.131,7.8
2,1,3,2,152,1490,5.47,1.205,7.95
2,1,3,2,153,1505,5.61,1.088,4.48
2,1,3,2,154,1720,5.4,1.444,10.36
2,1,3,2,155,1615,5.48,0.974,10.37
2,1,3,2,156,1470,5.56,0.996,4.88
2,1,3,2,157,1580,5.48,1.206,6.35
1,1,3,2,158,1610,5.5,1.322,10.52
1,1,3,2,159,1510,5.5,1.043,10.74
1,1,3,2,160,1715,5.45,1.09,9.36
1,1,3,2,161,1545,5.62,1.184,8.9
1,1,3,2,162,1600,5.53,1.342,7.72
1,1,3,2,163,1565,5.44,1.016,5.95
1,1,3,2,164,1530,5.36,1.189,7
1,1,3,2,165,1580,5.55,1.136,9.06
1,1,3,2,166,1610,5.55,1.11,8.58
1,1,3,2,167,1585,5.56,1.401,8.41
1,2,3,2,168,1775,5.4,1.39,8.26
1,1,3,2,169,1640,5.53,1.064,6.77
1,2,3,2,170,1620,5.57,1.015,6.71
1,2,3,2,171,1760,5.51,1.289,9.38
1,1,4,1,166,1905,5.34,1.218,10.73
1,1,4,1,167,1635,5.49,1.113,4.26
1,1,4,1,168,1795,5.49,1.598,11.06
1,1,4,1,169,1900,5.6,1.447,12.74
1,1,4,1,170,1775,5.53,0.991,5.88
1,1,4,1,171,2135,5.41,1.225,15.75
1,1,4,1,172,1820,5.42,1.241,10.72
1,1,4,1,173,1885,5.39,1.353,8.18
1,1,4,1,174,1770,5.51,1.419,9.06
1,1,4,1,175,2100,5.42,1.242,9.59
1,1,4,1,176,1990,5.54,1.353,12.37
1,1,4,1,177,1730,5.7,1.14,9.86
1,1,4,1,178,1680,5.49,1.033,10.38
1,1,4,1,179,1680,5.59,1.313,9.47
1,1,4,1,180,1705,5.52,1.072,9.86
1,1,4,1,181,1810,5.4,0.94,9
1,1,4,1,182,1740,5.69,1.205,9.83
1,1,4,1,183,1775,5.69,1.518,13.6
1,1,4,1,184,1730,5.59,1.304,9.5
1,1,4,1,185,1595,5.52,1.164,4.45
1,1,4,1,186,1980,5.6,1.66,15.84
1,1,4,1,187,2025,5.64,1.33,14.95
1,1,4,1,188,1905,5.47,1.066,22.07
1,1,4,1,189,1635,5.51,0.982,6.4
1,1,4,1,190,1885,5.47,1.011,9.37
1,1,4,1,191,1985,5.44,1.011,14.19
1,1,4,1,192,1735,5.51,1.388,12.34
1,1,4,1,193,1645,5.45,1.124,8.7
1,1,4,1,194,1690,5.54,1.362,13.22
1,1,4,1,195,1775,5.52,0.942,6.09
1,1,4,1,196,1545,5.49,0.893,5.44
1,1,4,1,197,1760,5.41,1.04,7.65
1,1,4,1,198,1720,5.63,1.018,7.24
1,1,4,1,199,1605,5.45,0.974,9.18
1,2,4,1,200,1960,5.49,0.988,8.55
1,2,4,1,201,1610,5.52,0.877,5.77
1,1,4,1,202,1645,5.46,0.922,5.21
1,1,4,1,203,1900,5.29,1.037,13
1,1,4,1,204,1700,5.65,1.484,9.79
1,1,4,1,205,1765,5.55,1.136,6.38
1,1,4,1,206,1795,5.49,1.328,11.22
1,1,4,1,207,1745,5.52,0.93,16.59
1,1,4,1,208,1725,5.51,0.94,9.4
1,1,4,2,172,2040,5.31,1.072,12.46
1,1,4,2,173,1945,5.27,1.017,17.72
1,1,4,2,174,1655,5.49,1.029,8.15
1,1,4,2,175,1945,5.42,1.176,16.77
1,1,4,2,176,1905,5.45,1.642,13.76
1,1,4,2,177,1990,5.59,1.221,14.16
1,1,4,2,178,1880,5.33,1.115,11.09
1,1,4,2,179,2055,5.47,1.306,15.4
1,1,4,2,180,1800,5.52,1.115,14.23
1,1,4,2,181,1710,5.43,1.276,10.29
1,1,4,2,182,1835,5.5,1.233,10.2
1,1,4,2,183,1870,5.44,1.331,14.54
1,1,4,2,184,1775,5.42,1.035,11.34
1,1,4,2,185,1590,5.67,1.206,8.15
1,1,4,2,186,1625,5.6,0.976,7.58
1,1,4,2,187,1615,5.56,0.858,8.37
1,1,4,2,188,1680,5.54,1.087,10.3
1,1,4,2,189,1745,5.64,1.179,13.08
