AE,OP,LG,Sex,LW,pH,IMF,PFat
1,1,1,1,2015,5.73,1.042,13.47
1,1,1,1,1990,5.73,1.44,12.79
1,2,1,1,1730,5.47,1.176,10.52
1,3,1,1,1695,5.48,1.041,6.29
1,2,1,1,1750,5.53,1.172,8.72
1,1,1,1,1760,5.43,1.408,6.4
1,3,1,1,1630,5.47,1.296,6.13
1,1,1,1,1705,5.61,1.024,9
1,1,1,1,1645,5.59,1.096,8
1,1,1,1,1735,5.5,1.337,8.63
1,1,1,2,1565,5.4,1.328,10.9
1,1,1,2,1835,5.39,1.205,16.8
1,1,1,2,1620,5.47,1.073,4.3
1,1,1,2,1840,5.31,1.186,15.58
1,1,1,2,1740,5.48,1.071,7.75
1,1,1,2,1745,5.41,1.168,8.26
1,1,1,2,1690,5.52,1.085,7.25
1,1,1,2,1785,5.5,1.221,13.16
1,1,1,2,1815,5.6,1.265,12.8
1,1,1,2,1735,5.45,1.641,12
1,1,1,2,1790,5.4,1.298,10.87
1,1,1,2,1650,5.51,1.064,5.95
1,1,1,2,1925,5.47,1.417,17
1,1,1,2,1605,5.5,1.038,10
1,1,1,2,1700,5.6,1.15,7.4
1,1,1,2,1705,5.47,1.12,8.7
1,1,1,2,1600,5.5,1.062,4.48
1,1,1,2,1785,5.51,1.367,10.67
1,1,1,2,1705,5.47,1.059,7.93
1,1,1,2,1730,5.55,1.278,9.13
1,1,1,2,1945,5.62,1.32,14.14
1,1,1,2,2240,5.62,1.156,19
1,1,1,2,1950,5.47,1.26,11.83
1,1,1,2,1995,5.66,1.202,13.5
1,1,1,2,2075,5.6,1.192,19.92
1,1,1,2,2025,5.5,1.401,21.3
1,1,1,2,1940,5.58,1.308,13.5
1,1,1,2,1910,5.58,1.212,12.95
1,1,1,2,1835,5.53,1.319,13.64
1,1,1,2,1920,5.57,1.345,11.98
1,1,1,2,1915,5.46,1.335,10.42
1,1,1,2,1835,5.63,1.289,12.45
1,1,1,2,1620,5.67,1.162,8.48
1,1,1,2,1615,5.65,1.099,6.3
1,1,1,2,1770,5.66,1.31,12.34
1,1,1,2,1790,5.4,1.212,10.85
1,1,1,2,1895,5.46,1.42,13.59
1,1,1,2,1940,5.4,1.384,17.4
1,1,1,2,1920,5.4,99999,17.3
1,1,1,2,1840,5.5,1.154,15.64
1,2,1,2,1740,5.47,1.141,15.05
1,1,1,2,1855,5.57,1.36,12.71
1,1,1,2,2065,5.46,1.389,20.88
1,1,1,2,1525,5.52,1.158,7.92
1,1,1,2,1920,5.65,1.266,12.68
1,1,1,2,1855,5.49,1.011,20.02
1,1,1,2,2035,5.45,1.569,25.22
1,1,1,2,2080,5.42,1.309,15.12
1,1,1,2,1520,5.38,1.139,10.91
1,1,1,2,1720,5.47,1.107,10.75
1,1,1,2,1735,5.45,1.199,14.06
1,2,1,2,1705,5.42,1.314,13.49
1,1,1,2,2000,5.46,1.072,16.48
1,1,1,2,1935,5.44,1.061,12.29
1,2,1,2,1900,5.45,1.046,16.92
1,2,1,2,1755,5.46,1.031,6.94
1,1,1,2,1960,5.43,1.179,23.7
1,1,1,2,1900,5.61,0.988,13.68
1,1,1,2,1675,5.59,1.058,12.81
1,1,1,2,1625,5.58,1.022,7.82
1,1,1,2,2020,5.62,1.038,11.3
1,2,1,2,1695,5.49,1.43,14.26
1,1,1,2,1890,5.55,1.33,14
1,1,1,2,1735,5.41,1.246,10.4
1,1,1,2,1795,5.72,1.048,10.76
1,1,1,2,1680,5.43,1.198,17.75
1,1,1,2,1655,5.4,1.268,15.74
1,1,1,2,1808,5.42,1.26,13.47
1,1,1,2,1885,5.47,1.395,15.17
1,1,1,2,1745,5.5,1.259,13.79
1,1,1,2,1910,5.45,1.333,17.45
1,2,1,2,1880,5.71,1.334,17.53
1,1,1,2,1530,5.74,1.222,5.46
1,1,1,2,1775,5.75,1.22,13.37
1,1,1,2,1795,5.71,1.034,13.53
1,1,1,2,1780,5.76,1.063,10.75
1,1,1,2,1785,5.72,1.221,14.23
1,2,1,2,1745,5.47,1.054,10.65
1,3,1,2,1595,5.49,1.15,9.4
1,2,1,2,1610,5.53,1.09,11.9
1,1,1,2,1650,5.56,1.099,12.6
1,1,1,2,1430,5.58,1.052,6.67
1,1,1,2,1540,5.55,0.944,7.82
1,3,1,2,1700,5.43,1.126,8.6
1,1,1,2,1750,5.46,1.17,11.18
1,1,1,2,1640,5.46,1.074,7.75
1,1,1,2,1655,5.53,1.312,10.09
1,1,2,1,1770,5.54,1.245,14.26
1,1,2,1,1765,5.59,1.253,9.03
1,1,2,1,1740,5.64,1.028,8.6
1,1,2,1,1825,5.6,1.483,19.42
1,1,2,1,1810,5.65,1.5,10.55
1,1,2,1,2205,5.35,1.72,26.17
1,1,2,1,1925,5.34,1.414,9.81
1,1,2,1,1840,5.56,1.172,9.81
1,1,2,1,1645,5.3,1.06,6.7
1,1,2,1,2005,5.41,1.261,18.9
1,1,2,1,1895,5.4,1.294,12.21
1,1,2,1,1905,5.46,1.601,11.9
1,1,2,1,1865,5.52,1.187,8.45
1,1,2,1,1905,5.45,1.301,10.29
1,1,2,1,1880,5.43,1.03,6.79
1,1,2,1,2030,5.45,1.677,14.93
1,1,2,1,1780,5.47,1.128,8.88
1,1,2,1,2245,5.45,1.526,18.67
1,1,2,1,1760,5.49,1.474,7.9
1,1,2,1,1930,5.68,1.25,5.51
1,1,2,1,1715,5.45,1.041,7.26
1,1,2,1,1950,5.64,1.17,12.76
1,1,2,1,1650,5.69,0.94,7.38
1,1,2,1,1875,5.49,0.9,12.6
1,1,2,1,1975,5.57,1.036,10.73
1,2,2,1,1815,5.7,1.345,12.58
1,1,2,1,1950,5.45,1.401,19.18
1,1,2,1,1995,5.62,1.057,18.9
1,1,2,1,1675,5.61,1,3.87
1,1,2,1,1775,5.44,1.411,17.82
1,1,2,1,1760,5.66,1.403,13.04
1,1,2,1,1695,5.41,1.34,8.72
1,1,2,1,1830,5.62,1.146,6.49
1,1,2,1,1770,5.42,1.13,9.52
1,1,2,1,1790,5.52,1.232,10.56
1,1,2,1,1890,5.58,1.441,11.12
1,1,2,1,1655,5.59,0.889,6.77
1,1,2,1,1785,5.35,1.195,10.62
1,1,2,1,1875,5.57,1.208,10.75
1,1,2,1,1870,5.65,1.263,7.11
1,1,2,1,1750,5.48,1.084,16.99
